id;content_proposal;start_date;end_date;status;note;remaining_date;additional_date;status_chart;current_progress_id;current_progress_name
1;Car;2020-05-31T04:43:44;2020-05-31T09:09:56;false;PNG Practical Metal Chips mobile;65110;73866;false;83091;deliver Generic Steel Soap
2;engage;2020-05-31T09:52:25;2020-05-31T05:41:58;true;Congo;75860;90856;true;48496;Usability Well
3;deposit compress;2020-05-30T15:38:19;2020-05-30T15:46:11;true;Fields;14090;94992;true;94498;web-readiness Bypass
4;revolutionize wireless;2020-05-30T13:06:48;2020-05-30T23:14:57;true;District;95241;10937;true;41482;California input
5;dynamic;2020-05-30T21:29:20;2020-05-31T02:05:15;true;strategize parse;12573;51630;false;47610;mission-critical Chief Administrator
6;Iraqi Dinar Stand-alone Refined;2020-05-31T06:17:42;2020-05-30T18:15:28;false;hybrid orchid Forward;47986;71906;true;14489;Hawaii Configuration Rubber
7;UAE Dirham Applications;2020-05-30T13:51:29;2020-05-30T22:51:50;false;Bike;92877;99318;true;48523;Usability PNG Borders
8;invoice;2020-05-31T05:50:59;2020-05-30T18:21:01;true;Colorado capability;80934;16074;false;5639;Borders
9;West Virginia;2020-05-31T02:52:16;2020-05-30T23:25:57;false;Money Market Account;42825;92483;true;32900;violet Table
10;Suriname Utah;2020-05-31T03:36:52;2020-05-31T01:23:03;true;Metal synergies;78452;26842;false;22970;Handcrafted SDR Intelligent Steel Chicken
